prompt_id,prompt_title,shot_index,start_sec,end_sec,title,visual_action,camera,audio,continuity
8,AS-058 Orin Vale：The Last Signal,1,0,2,信号塔熄灭,一座发光信号塔塌成平黑针深，针体沿圆形链快速缩回。,锁定微距。,金属针低语与一次警报敲击。,斜侧光和针幕材质固定。
8,AS-058 Orin Vale：The Last Signal,2,2,5,黑潮逼近,黑色浮雕潮穿过阶梯熄灭塔楼并逼近 Orin。,极大全景，高角度平移跟随黑潮。,低鼓脉冲增强。,镜头跟潮而非跟角色。
8,AS-058 Orin Vale：The Last Signal,3,5,8,守住最后信标,Orin 站到最后信标前，双靴落定，把白色 Aeroseed 举到肩高。,中低角度慢推，结束于坚定侧脸。,披肩落定与低音重击。,角色轮廓完整可读。
8,AS-058 Orin Vale：The Last Signal,4,8,12,压力环逆转黑潮,Aeroseed 释放三圈压力环，针体随环升起并重建台阶、拱门和雾。,固定俯视。,有触感的滚雷环绕移动。,三圈传播顺序和重建因果清楚。
8,AS-058 Orin Vale：The Last Signal,5,12,15,最后信号恢复,最后塔楼竖起并投出白色光束，Orin 放下手臂，浮雕雾向两侧分开。,宽幅侧面。,克制铜管音与最终针响。,以清楚稳定的侧面剪影结束。
9,AS-096 Nia Vector：Map the Storm,1,0,2,地图被撕裂,金色 Aeroseed 闪烁，青色激流反向弯曲并在地图中撕出黑洞。,微距，从种子快速移焦至裂口。,颗粒裂响与次低频下坠。,裂口形成路径和流向可读。
9,AS-096 Nia Vector：Map the Storm,2,2,5,粒子风暴袭来,风暴漏斗卷向塔柱，剥离其外层点云。,极大全景，镜头沿一条等高线俯冲向 Nia。,加速空气脉冲。,粒子依照有组织的向量路径移动。
9,AS-096 Nia Vector：Map the Storm,3,5,8,释放外轮廓,Nia 稳住身体、张开双臂，只把披风边缘和外轮廓释放为两股流。,正面中景慢推，结束于稳定眼神。,声音短暂降至心跳。,脸和躯干保持完整高密度。
9,AS-096 Nia Vector：Map the Storm,4,8,12,改写风暴向量,两股流包裹风暴，将其弯成发光螺旋并拉合黑色裂口。,头顶环绕。,颗粒高潮在立体声场中旋转。,Nia 的脸和躯干始终不解体。
9,AS-096 Nia Vector：Map the Storm,5,12,15,点亮城市地图,流体完全回到 Nia，地面数千粒子点亮为巨大城市地图，她转成三分之四英雄剪影。,起重机上升。,温暖钟音与深沉脉冲解决。,完全重组，脸前没有游离粒子。
10,AS-061 Kade Flux：Restart the Sky,1,0,2,涡轮环断裂,涡轮环断裂，琥珀电能朝镜头弹射。,极近景，快速变焦停在裂纹。,电弧爆响与立即鼓击。,断裂点和能量来源明确。
10,AS-061 Kade Flux：Restart the Sky,2,2,5,穿越坍塌屋顶,Kade 从左向右奔跑，失效涡轮在身后崩成干净几何块。,24mm 宽幅横向跟拍。,推进型打击乐。,每一拍一个动作姿态，使用青色速度强调。
10,AS-061 Kade Flux：Restart the Sky,3,5,8,滑跪接住种子,Kade 在坠落圆环下完成一次受控膝滑，并用前臂护具接住 Aeroseed。,地面高度中景，跟滑并在接触时停止。,金属刮擦与切分重击。,单一连贯滑行动作，手部和道具接触稳定。
10,AS-061 Kade Flux：Restart the Sky,4,8,12,重启风力网络,Kade 把 Aeroseed 导入核心，琥珀冲击波穿过所有悬环，城市赛璐璐光带由阴影切为青色。,三分之四上升镜头，沿能量路径升高。,合成器持续上升。,冲击波传播顺序与照明切换同步。
10,AS-061 Kade Flux：Restart the Sky,5,12,15,城市重新点亮,涡轮在 Kade 身后锁定旋转，风吹动夹克一次，城市以图形光带回应。,低机位英雄大全景，末 0.5 秒保持。,涡轮低鸣与果断两音收尾。,以清楚剪影结束，动作必须先落点。
11,日系二维城市晨间瓶装咖啡广告,1,0,4,明亮城市晨间,年轻男性在阳光明媚的城市早晨出场，建立轻松积极的一天。,城市宽景转人物中景，轻柔跟拍。,轻快原声音乐与城市晨间环境声起。,人物外形、服装和随身物品首次锁定。
11,日系二维城市晨间瓶装咖啡广告,2,4,9,便利店取瓶装拿铁,他进入便利店，从冷柜或货架拿起一瓶 Starbucks Caffè Latte。,货架建立镜头、手部取瓶近景、人物与产品同框中景。,店内底噪、冰柜轻响与取瓶声。,手部结构正确，瓶型与标签完整清楚。
11,日系二维城市晨间瓶装咖啡广告,3,9,13,清爽第一口,回到明亮街头，他打开瓶盖并自然喝下一口，露出清爽满足的表情。,侧面中近景配产品局部特写，暖阳形成柔和轮廓光。,开瓶声、饮用声，音乐轻微上扬。,饮用动作自然，瓶口不穿透面部，产品外观不变化。
11,日系二维城市晨间瓶装咖啡广告,4,13,20,咖啡馆专注工作,他坐在温馨咖啡馆，用笔记本电脑和纸质笔记本工作，瓶装咖啡放在桌面可见位置。,窗边环境中景、肩后屏幕镜头、手写与键盘细节。,轻快音乐、键盘与纸笔声、柔和咖啡馆底噪。,电脑、笔记本、咖啡瓶与座位方位连续。
11,日系二维城市晨间瓶装咖啡广告,5,20,26.5,与朋友轻松社交,朋友来到桌边，几人自然交流、微笑并分享轻松的咖啡馆时刻。,双人或小群组关系中景，轻微横移捕捉表情互动。,自然谈笑声与积极原声音乐。,主角身份和服装不漂移；新人物数量稳定。
11,日系二维城市晨间瓶装咖啡广告,6,26.5,31.201,瓶装拿铁英雄镜头,以多瓶 Starbucks Caffè Latte 的清晰近景结束，产品成为唯一视觉焦点。,桌面产品英雄镜头，缓慢推近，背景柔和虚化。,音乐形成明亮收束，可加入轻微瓶身落桌声。,标签朝向统一、瓶型无变形，停留足够时间形成广告封面。
12,河畔露营牛肉河粉：金色篝火料理动画,1,0,1.5,河畔露营与食材建立,金色晨昏光照亮宁静河畔营地，木桌摆着牛肉、香草、香料和蔬菜。,宽幅环境建立后快速推向料理台。,河水、微风、鸟鸣与轻柔音乐起。,营地、木桌、铸铁锅和陶瓷碗的位置锁定。
12,河畔露营牛肉河粉：金色篝火料理动画,2,1.5,3.3,薄切牛肉与备料,刀锋切开大理石纹牛肉，并快速展示姜、洋葱、整粒香料、泰国罗勒、豆芽和青柠。,俯拍与极近景刀工蒙太奇，匹配切换食材。,清脆刀切、砧板和香料落盘声。,牛肉切片薄而连续，手指与刀具结构正确。
12,河畔露营牛肉河粉：金色篝火料理动画,3,3.3,5.2,牛骨香料入锅,牛骨、姜、洋葱与整粒香料依次进入篝火上的铸铁锅。,锅沿低角度近景转俯拍，跟随食材落入汤中。,篝火噼啪、食材落锅与液体翻动声。,每种食材只加入一次，铸铁锅外形不变。
12,河畔露营牛肉河粉：金色篝火料理动画,4,5.2,7.2,熬出浓郁清汤,汤汁在篝火上稳定沸腾，金色蒸汽升起，牛骨与香料在清亮汤中缓慢翻滚。,贴近锅面的慢推与蒸汽逆光特写。,持续沸腾声与温暖配乐上扬。,汤体保持清亮有流动性，火焰来自锅下篝火。
12,河畔露营牛肉河粉：金色篝火料理动画,5,7.2,9,米粉与薄牛肉装碗,米粉放入陶瓷碗，薄牛肉片整齐铺在表面。,碗内俯拍，米粉落下后切到牛肉铺放微距。,米粉轻落和陶瓷轻响。,同一陶瓷碗，牛肉仍呈自然生红色。
12,河畔露营牛肉河粉：金色篝火料理动画,6,9,10.8,滚汤烫熟牛肉,滚烫清汤浇入碗中，蒸汽涌起，薄牛肉片沿浇汤路径逐渐由红转熟。,浇汤超近景，跟随汤流横移并停在肉片变色处。,清晰浇汤、蒸汽与轻微滋声。,牛肉必须渐变受热，不瞬间换片；汤不溢出碗。
12,河畔露营牛肉河粉：金色篝火料理动画,7,10.8,12.5,香草装饰与英雄碗,泰国罗勒、豆芽、辣椒、红洋葱和青柠完成装饰，热气中的牛肉河粉成为最终焦点。,配料落点微距后轻微环绕成品英雄镜头。,配料轻落声，音乐温暖收束。,配料顺序清楚，成品碗完整稳定并留出封面停顿。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,1,0,2.5,曲奇盒打招呼,曲奇盒和冰牛奶瓶置于木桌，双手滑入画面并轻轻转动盒子；白色涂鸦 HELLO!、HI!、闪光和箭头出现。,桌面产品建立镜头转手部近景，浅景深。,纸盒轻敲、桌面轻触与安静房间底噪。,不露脸；盒体、牛奶瓶与双手首次锁定。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,2,2.5,5,慢拆曲奇包装,双手缓慢撕开曲奇包装；CRINKLE~、OPEN!、WOW! 和动态线条跟随撕口。,包装超近景，镜头紧贴撕裂路径。,突出清脆、层次丰富的包装摩擦声。,包装从同一盒中取出，撕口和手指接触连续。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,3,5,7.5,慢动作倒牛奶,冰牛奶倒入透明杯，飞溅、气泡和冷凝水在窗光中闪亮；POUR~、FRESH!、水滴涂鸦短暂出现。,玻璃杯微距慢动作，跟随奶流轻微下移。,牛奶倾倒与玻璃轻碰声。,奶流遵守重力和流体物理，不穿透杯壁或溢出。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,4,7.5,10,曲奇蘸奶,一块曲奇被缓慢浸入牛奶，再抬起让奶滴回杯中；DIP!、SOFT!、爱心与弧形箭头跟随曲奇。,曲奇与液面同框的侧面近景，轻微跟随升降。,蘸取、滴落和杯沿轻响。,曲奇只软化不溶解，奶滴路径连续。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,5,10,12.5,掰开与碎屑慢落,双手把曲奇掰成两半，巧克力轻微拉丝，碎屑慢动作落下；CRUNCH!、YUM!、MMM!、星星和碎屑涂鸦出现。,断裂点极近景与短暂高速摄影。,清脆断裂、碎屑落桌与近距离咀嚼质感声。,双手结构正确，巧克力只轻微拉伸，碎屑受重力下落。
13,POV 曲奇蘸牛奶 ASMR：手绘涂鸦美食广告,6,12.5,14.778,产品英雄镜头与点赞,曲奇盒、叠放曲奇和牛奶杯整齐成组，一只手放下最后一块曲奇并点赞；PERFECT!、BEST!、ENJOY! 与柔和星光环绕。,低角度产品英雄构图，缓慢推近并停在清晰封面帧。,曲奇落盘、玻璃轻响和桌面轻拍自然收尾。,最终产品数量稳定，涂鸦不遮挡主体，手势完整可读。
14,咖啡杯里的灯塔海洋：云海微缩梦境,1,0,2.5,卷浪与灯塔建立,透明杯悬在云海中，杯内青绿色巨浪从左侧卷起，暖光灯塔位于杯中偏右。,略高正面中近景，极慢推近。,低沉海浪、细小水花与远风。,杯把始终朝右；单座灯塔、杯体和云海首次锁定。
14,咖啡杯里的灯塔海洋：云海微缩梦境,2,2.5,5,回浪与双向扫光,卷浪沿杯口回落成旋涡，灯塔的暖金光束扫过水面并形成明亮反射。,轻微横移和下沉，突出杯壁折射与水线。,回浪、细碎水滴与极轻机械转动声。,水体不得穿透杯壁，灯塔结构和比例不变。
14,咖啡杯里的灯塔海洋：云海微缩梦境,3,5,7.5,礁石灯塔英雄构图,海面暂时舒展，灯塔与小礁石成为中心，扫光穿过云层与波纹。,缓慢环绕数度并轻推，制造微缩视差。,海面涌动减弱，梦幻氛围音轻微上扬。,始终只有一座灯塔，礁石不漂移，云层方向连续。
14,咖啡杯里的灯塔海洋：云海微缩梦境,4,7.5,10.041,浪峰重组与暖光收束,后侧海浪再次抬升并绕向灯塔，在杯口形成细碎白色水花，暖光穿透浪雾完成英雄帧。,镜头稳定靠近后停顿，让卷浪弧线、灯塔和完整杯体同时可读。,浪声增强后柔和收束，水滴与远风淡出。,浪峰受杯内空间约束；结尾杯体、把手和灯塔必须清晰完整。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,1,0,2,Opening Shot：晨间床头产品,黄色蜂蜜黄油杏仁包装立在木质床头柜，旁有闹钟、书本与小花，暖晨光照入卧室。,略低产品中近景，缓慢推近并保持包装文字正面可读。,旁白「기분 좋은 하루의 시작.」；清晨环境与轻柔配乐起。,首次锁定黄色包装、卧室暖米色调和产品比例。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,2,2,4,Daily Companion：居家工作,奶油色针织衫的年轻韩国女性在笔记本电脑前工作，黄色包装稳定放在旁边。,肩侧中景转桌面近景，人物与产品同框。,"旁白「집중이 필요할 때, 달콤하고 고소하게.」；轻微键盘声。",同一女性、针织衫和产品包装；桌面空间方向连续。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,3,4,6,Close-up Temptation：取一颗杏仁,手指从陶瓷碗中挑起一颗金色蜂蜜黄油裹粉杏仁，背景蜂蜜罐柔和虚化。,食物宏观特写，焦点从碗中杏仁转到指尖单颗。,杏仁轻碰陶瓷碗与细腻包装环境声。,手指结构正确，只取一颗；涂层细腻不结块。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,4,6,8,Break Time：自然试吃,女性把杏仁送入口中，自然咀嚼后露出满足微笑。,温暖人物中近景，微推捕捉克制真实反应。,对白「달콤하고 고소해서 자꾸 손이 가!」；清脆咀嚼声。,人物身份、针织衫和家居光线保持一致。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,5,8,10,Sharing with Friends：好友分享,女性与两名成年韩国朋友围坐，分享同一碗杏仁并自然交谈微笑。,三人中景结合手递杏仁近景，保持视线方向。,对白「맛있는 건 같이 먹어야지!」；朋友轻笑与碗碟轻响。,仅两名成年朋友；黄色包装和同一碗杏仁保持可见。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,6,10,11.5,On-the-Go Energy：装入帆布包,双手把密封的黄色包装整齐滑入奶油色帆布托特包。,胸口以下手部特写，跟随包装垂直下移。,帆布摩擦与包装轻响。,包装必须密封、正面图形稳定，帆布包颜色与尺寸不变。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,7,11.5,13,Cozy Night：夜间放松,夜晚暖灯下，女性坐在沙发上，身旁有热饮，平静地享用另一颗杏仁。,侧面中近景，浅景深与柔和钨丝灯散景。,"旁白「가볍게 챙겨, 언제 어디서나.」「하루의 끝까지, 달콤한 휴식.」；杯子轻碰声。",同一女性与针织衫，明确从白天过渡到夜晚。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,8,13,14,Sweet Ending：蜂蜜黄油食材微距,金色杏仁、玻璃蜂蜜罐、木质蜂蜜棒和一块干净黄油组成食材画面，蜂蜜缓慢滴落。,极近景慢动作，焦点沿蜂蜜丝移动到杏仁和黄油。,"旁白「꿀의 달콤함, 버터의 부드러운 풍미.」；蜂蜜滴落与柔和音乐上扬。",只出现一块黄油，蜂蜜流动连续且不悬浮。
15,韩系蜂蜜黄油杏仁：从晨间到夜晚的生活方式广告,9,14,15.041,Product Hero Shot：产品英雄镜头,黄色包装正面居中，旁边是盛满裹粉杏仁的陶瓷碗，蜂蜜与黄油作为简洁辅景。,正面广告英雄构图，微推后留出清晰停顿。,"终句「달콤하고 고소한 매일의 즐거움, 허니버터 아몬드.」；品牌尾音收束。",包装文字、碗内杏仁数量和背景陈设稳定，主体无遮挡。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,1,0,6,紧急来客电话,复古绿色旋转电话占据前景，母亲在背景握着听筒，睁大眼睛挥手，催促女儿逐片清洁每一片吊扇叶。,电话极近景转母亲中近景，略带低角度和戏剧性推近。,"母亲对白：“The guests are coming in an hour! Honey, hurry up! Clean every single fan blade, one by one — please, please, go go go!”",母亲短棕灰发、米色开衫和花纹上衣首次锁定；电话始终为复古绿色。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,2,6,12,女儿夸张叹气,女儿坐在客厅沙发上刷桃色手机，眉毛紧皱、嘴角扭曲，发出夸张长叹。,人物中景快速推到表情特写，强调卡通面部挤压。,手机轻触、夸张叹气与轻快但焦躁的配乐。,女儿红棕高马尾、橄榄绿 Polo、心形项链和浅色宽松牛仔裤保持固定。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,3,12,22,吊扇与墙板过度清洁,母亲挥舞绿色拖把继续指挥；女儿爬上红色梯子，用白布逐片擦拭深木色吊扇，再用灰色长掸清理几何木墙板并夸张擦汗。,围绕梯子和吊扇的环绕镜头，随后跟踪长掸横移；逆光尘埃可见。,拖把落地、布擦叶片、掸灰和女儿喘气声。,梯子稳定，吊扇停转后再擦；清洁工具不得互换或悬浮。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,4,22,32,钻进冰箱清洁,戴黄色橡胶手套的女儿蹲进敞开的不锈钢冰箱，用绿色超细纤维布用力擦洗白色内壁和层架；门架摆着数瓶绿色 7UP。,冰箱内部广角看向女儿，切手套与抹布近景。,湿布摩擦、玻璃瓶轻碰和专注的呼吸声。,冰箱保持通风安全的卡通语境；黄色手套、绿色布与门架瓶数连续。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,5,32,42,门廊台阶也要清洁,傍晚门廊上，母亲仍站在门口催促；女儿拄着拖把肩膀下垂，对连台阶也要清洁感到崩溃。,门廊低角度双人中景，逐渐推到女儿疲惫表情。,"女儿对白：“Mom, the stairs too?! This is getting a little extra!”、“I’m completely wiped from all this extra cleaning!”",同一绿色拖把；天空从下午自然过渡到柔和傍晚。
16,7UP Extra Fizz 过度清洁：三维家庭喜剧汽水广告,6,42,52,开瓶畅饮恢复活力,疲惫表情极近景后，女儿拿起冰镇绿色 7UP Extra Fizz，旋开瓶盖，气泡与水滴喷出；长饮后眼睛亮起、脸颊发光，笑容展开并开心弹跳。,表情极近景切开瓶微距，再轻拉远捕捉弹跳全身。,响亮“PSSSHT!”、密集气泡、水滴喷溅和吞咽声；配乐由疲惫转为清爽上扬。,同一女儿与瓶体；表情变化连续，瓶盖和液体遵守物理。
